,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha_z[0],-0.034,0.084,-0.166,0.107,0.001,0.001,6492.0,5714.0,1.0
alpha_z[1],0.064,0.105,-0.11,0.232,0.001,0.001,7755.0,6341.0,1.0
alpha_z[2],-0.002,0.093,-0.155,0.148,0.001,0.001,10296.0,5464.0,1.0
alpha_z[3],-0.004,0.097,-0.175,0.145,0.001,0.001,12057.0,6150.0,1.0
alpha_z[4],-0.029,0.095,-0.186,0.123,0.001,0.001,10789.0,6613.0,1.0
alpha_z[5],-0.038,0.096,-0.19,0.125,0.001,0.001,8159.0,5983.0,1.0
alpha_z[6],0.058,0.105,-0.108,0.24,0.001,0.001,7740.0,6017.0,1.0
alpha_z[7],0.002,0.101,-0.166,0.165,0.001,0.001,11493.0,5920.0,1.0
alpha_z[8],0.001,0.1,-0.164,0.161,0.001,0.001,12283.0,5918.0,1.0
alpha_z[9],-0.0,0.1,-0.163,0.164,0.001,0.001,11028.0,5725.0,1.0
alpha_z[10],0.03,0.102,-0.14,0.198,0.001,0.001,9353.0,5887.0,1.0
alpha_z[11],0.03,0.102,-0.133,0.194,0.001,0.001,9697.0,5345.0,1.0
alpha_z[12],0.031,0.103,-0.13,0.204,0.001,0.001,9309.0,5526.0,1.0
alpha_z[13],0.03,0.1,-0.12,0.211,0.001,0.001,9802.0,5835.0,1.0
alpha_z[14],0.005,0.101,-0.161,0.169,0.001,0.001,10642.0,5976.0,1.0
alpha_z[15],0.006,0.1,-0.153,0.177,0.001,0.001,11212.0,5887.0,1.0
alpha_z[16],0.005,0.1,-0.16,0.166,0.001,0.001,12138.0,5812.0,1.0
alpha_z[17],0.006,0.099,-0.162,0.161,0.001,0.001,11170.0,5490.0,1.0
alpha_z[18],0.007,0.098,-0.148,0.171,0.001,0.001,10772.0,5869.0,1.0
alpha_z[19],0.006,0.099,-0.151,0.172,0.001,0.001,10472.0,6186.0,1.0
alpha_z[20],0.006,0.1,-0.167,0.165,0.001,0.001,11653.0,6305.0,1.0
alpha_z[21],0.005,0.1,-0.163,0.164,0.001,0.001,10350.0,5167.0,1.0
alpha_z[22],0.004,0.101,-0.157,0.175,0.001,0.001,11326.0,6032.0,1.0
beta_z[0],0.055,0.085,-0.081,0.199,0.001,0.001,6107.0,5456.0,1.0
beta_z[1],-0.061,0.102,-0.228,0.106,0.001,0.001,9023.0,6166.0,1.0
beta_z[2],-0.018,0.092,-0.171,0.13,0.001,0.001,10474.0,5929.0,1.0
beta_z[3],0.012,0.095,-0.143,0.169,0.001,0.001,10984.0,6171.0,1.0
beta_z[4],0.025,0.096,-0.132,0.19,0.001,0.001,10260.0,6383.0,1.0
beta_z[5],0.04,0.098,-0.12,0.198,0.001,0.001,9224.0,5944.0,1.0
beta_z[6],-0.061,0.1,-0.224,0.103,0.001,0.001,8354.0,5476.0,1.0
beta_z[7],-0.001,0.098,-0.158,0.164,0.001,0.001,10092.0,5772.0,1.0
beta_z[8],-0.001,0.102,-0.163,0.169,0.001,0.001,10190.0,5663.0,1.0
beta_z[9],-0.002,0.1,-0.172,0.16,0.001,0.001,10656.0,5855.0,1.0
beta_z[10],-0.037,0.101,-0.2,0.129,0.001,0.001,10423.0,5907.0,1.0
beta_z[11],-0.037,0.101,-0.203,0.13,0.001,0.001,10498.0,5711.0,1.0
beta_z[12],-0.035,0.1,-0.199,0.128,0.001,0.001,9302.0,5970.0,1.0
beta_z[13],-0.035,0.1,-0.185,0.142,0.001,0.001,8980.0,5760.0,1.0
beta_z[14],-0.005,0.1,-0.177,0.152,0.001,0.001,10186.0,5638.0,1.0
beta_z[15],-0.004,0.099,-0.164,0.159,0.001,0.001,10928.0,5980.0,1.0
beta_z[16],-0.005,0.1,-0.165,0.161,0.001,0.001,10413.0,5967.0,1.0
beta_z[17],-0.006,0.101,-0.169,0.16,0.001,0.001,9582.0,5764.0,1.0
beta_z[18],-0.006,0.1,-0.173,0.152,0.001,0.001,12019.0,5719.0,1.0
beta_z[19],-0.005,0.1,-0.175,0.152,0.001,0.001,10724.0,5934.0,1.0
beta_z[20],-0.005,0.1,-0.169,0.159,0.001,0.001,10962.0,5587.0,1.0
beta_z[21],-0.007,0.101,-0.17,0.163,0.001,0.001,11296.0,5522.0,1.0
beta_z[22],-0.006,0.099,-0.166,0.155,0.001,0.001,11316.0,5960.0,1.0
alpha_s,0.572,0.41,0.0,1.152,0.007,0.005,2940.0,3104.0,1.0
beta_s,0.636,0.414,0.001,1.212,0.007,0.005,3244.0,3219.0,1.0
alpha[0],3.91,0.184,3.573,4.171,0.002,0.002,5155.0,7106.0,1.0
alpha[1],4.234,0.406,3.748,4.845,0.006,0.004,5525.0,6405.0,1.0
alpha[2],4.0,0.23,3.603,4.359,0.002,0.002,10451.0,6826.0,1.0
alpha[3],3.995,0.252,3.557,4.392,0.002,0.002,11060.0,6675.0,1.0
alpha[4],3.918,0.246,3.497,4.282,0.003,0.002,8423.0,6989.0,1.0
alpha[5],3.885,0.252,3.446,4.235,0.003,0.002,6362.0,6861.0,1.0
alpha[6],4.213,0.389,3.707,4.765,0.005,0.004,5285.0,6536.0,1.0
alpha[7],4.017,0.289,3.575,4.489,0.003,0.002,9944.0,6191.0,1.0
alpha[8],4.011,0.285,3.535,4.439,0.003,0.002,10673.0,6110.0,1.0
alpha[9],4.012,0.285,3.569,4.456,0.003,0.002,9997.0,6601.0,1.0
alpha[10],4.117,0.33,3.644,4.611,0.004,0.003,7818.0,6279.0,1.0
alpha[11],4.119,0.331,3.669,4.629,0.004,0.003,8097.0,6347.0,1.0
alpha[12],4.119,0.337,3.642,4.63,0.004,0.003,6695.0,6167.0,1.0
alpha[13],4.116,0.322,3.642,4.591,0.004,0.003,8010.0,6094.0,1.0
alpha[14],4.026,0.285,3.549,4.448,0.003,0.002,9796.0,6397.0,1.0
alpha[15],4.033,0.289,3.591,4.496,0.003,0.002,9496.0,6339.0,1.0
alpha[16],4.028,0.292,3.567,4.482,0.003,0.002,10348.0,6547.0,1.0
alpha[17],4.03,0.281,3.583,4.474,0.003,0.002,9813.0,6691.0,1.0
alpha[18],4.032,0.288,3.531,4.447,0.003,0.002,9504.0,5823.0,1.0
alpha[19],4.029,0.281,3.572,4.467,0.003,0.002,9158.0,6429.0,1.0
alpha[20],4.029,0.292,3.518,4.443,0.003,0.002,9899.0,6668.0,1.0
alpha[21],4.031,0.288,3.584,4.466,0.003,0.002,9125.0,6639.0,1.0
alpha[22],4.027,0.286,3.545,4.472,0.003,0.002,9507.0,6339.0,1.0
beta[0],0.689,0.041,0.63,0.756,0.001,0.0,4909.0,6602.0,1.0
beta[1],0.628,0.052,0.537,0.7,0.001,0.0,6735.0,6433.0,1.0
beta[2],0.651,0.042,0.573,0.716,0.0,0.0,8573.0,6324.0,1.0
beta[3],0.668,0.048,0.59,0.74,0.0,0.0,10330.0,6438.0,1.0
beta[4],0.677,0.051,0.6,0.76,0.001,0.0,9000.0,6603.0,1.0
beta[5],0.685,0.053,0.611,0.773,0.001,0.0,6996.0,6216.0,1.0
beta[6],0.628,0.051,0.542,0.698,0.001,0.0,5653.0,6276.0,1.0
beta[7],0.661,0.049,0.583,0.743,0.001,0.0,9379.0,6064.0,1.0
beta[8],0.662,0.052,0.576,0.743,0.001,0.0,9385.0,6378.0,1.0
beta[9],0.661,0.05,0.575,0.739,0.001,0.0,9574.0,6296.0,1.0
beta[10],0.641,0.048,0.557,0.712,0.001,0.0,8421.0,6228.0,1.0
beta[11],0.641,0.049,0.555,0.709,0.001,0.0,8149.0,6144.0,1.0
beta[12],0.642,0.049,0.557,0.713,0.001,0.0,8052.0,6322.0,1.0
beta[13],0.642,0.049,0.556,0.716,0.001,0.0,7852.0,6343.0,1.0
beta[14],0.659,0.05,0.577,0.739,0.001,0.0,9027.0,6171.0,1.0
beta[15],0.659,0.049,0.582,0.74,0.0,0.0,9981.0,6071.0,1.0
beta[16],0.659,0.05,0.578,0.737,0.001,0.0,9356.0,6430.0,1.0
beta[17],0.659,0.05,0.576,0.737,0.001,0.0,9092.0,5643.0,1.0
beta[18],0.658,0.05,0.575,0.738,0.0,0.0,10558.0,6673.0,1.0
beta[19],0.659,0.049,0.578,0.74,0.001,0.0,9877.0,6910.0,1.0
beta[20],0.659,0.05,0.582,0.741,0.001,0.0,10361.0,5824.0,1.0
beta[21],0.658,0.049,0.583,0.747,0.0,0.0,10738.0,6001.0,1.0
beta[22],0.658,0.049,0.572,0.73,0.001,0.0,9764.0,6078.0,1.0
mu[0],5.686,0.31,5.188,6.199,0.003,0.002,8795.0,7304.0,1.0
mu[1],6.783,0.831,5.618,8.04,0.01,0.007,7130.0,6324.0,1.0
mu[2],6.164,0.507,5.355,7.0,0.005,0.004,9863.0,7071.0,1.0
mu[3],6.006,0.548,5.056,6.856,0.005,0.004,10698.0,6489.0,1.0
mu[4],5.818,0.532,4.873,6.607,0.005,0.004,9983.0,7066.0,1.0
mu[5],5.701,0.511,4.855,6.517,0.005,0.004,9140.0,6415.0,1.0
mu[6],6.745,0.794,5.587,7.897,0.009,0.007,7218.0,6292.0,1.0
mu[7],6.106,0.63,5.121,7.136,0.007,0.005,9181.0,6646.0,1.0
mu[8],6.1,0.648,5.015,7.084,0.007,0.005,10017.0,6727.0,1.0
mu[9],6.101,0.632,5.088,7.108,0.006,0.005,9766.0,7133.0,1.0
mu[10],6.464,0.72,5.443,7.633,0.008,0.006,8623.0,6307.0,1.0
mu[11],6.464,0.714,5.47,7.574,0.008,0.006,8579.0,7028.0,1.0
mu[12],6.459,0.741,5.399,7.61,0.008,0.006,8283.0,6676.0,1.0
mu[13],6.454,0.716,5.375,7.543,0.008,0.006,8801.0,6463.0,1.0
mu[14],6.145,0.63,5.168,7.194,0.007,0.005,8771.0,6610.0,1.0
mu[15],6.153,0.642,5.115,7.137,0.007,0.005,9622.0,6285.0,1.0
mu[16],6.147,0.638,5.098,7.126,0.007,0.005,9626.0,6494.0,1.0
mu[17],6.154,0.638,5.114,7.125,0.007,0.005,8989.0,6389.0,1.0
mu[18],6.16,0.643,5.134,7.185,0.007,0.005,9725.0,6236.0,1.0
