,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha_z[0],0.005,0.09,-0.134,0.163,0.001,0.001,7366.0,5628.0,1.0
alpha_z[1],0.05,0.096,-0.108,0.21,0.001,0.001,6704.0,5353.0,1.0
beta_z[0],0.007,0.093,-0.138,0.165,0.001,0.001,6451.0,5492.0,1.0
beta_z[1],-0.025,0.093,-0.181,0.127,0.001,0.001,6729.0,5283.0,1.0
alpha_s,0.373,0.281,0.001,0.76,0.004,0.003,3604.0,2790.0,1.0
beta_s,0.346,0.266,0.0,0.718,0.003,0.002,4169.0,2710.0,1.0
alpha[0],3.009,0.106,2.828,3.178,0.001,0.001,7338.0,6975.0,1.0
alpha[1],3.08,0.137,2.898,3.317,0.002,0.001,5816.0,6384.0,1.0
beta[0],0.904,0.032,0.854,0.959,0.0,0.0,6663.0,6820.0,1.0
beta[1],0.89,0.032,0.832,0.938,0.0,0.0,6460.0,6676.0,1.0
mu[0],3.333,0.147,3.092,3.581,0.002,0.001,8469.0,7423.0,1.0
mu[1],3.465,0.18,3.194,3.756,0.002,0.001,7380.0,6525.0,1.0
sigma[0],1.921,0.068,1.805,2.029,0.001,0.001,7692.0,7274.0,1.0
sigma[1],1.974,0.078,1.857,2.101,0.001,0.001,7387.0,7315.0,1.0
