,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu[0],3.349,0.622,2.384,4.403,0.006,0.005,9764.0,5430.0,1.0
mu[1],3.662,0.609,2.674,4.641,0.006,0.004,10315.0,6162.0,1.0
"theta_z[0, 0]",-0.064,0.942,-1.601,1.525,0.008,0.011,12758.0,5845.0,1.0
"theta_z[0, 1]",-0.021,0.939,-1.598,1.488,0.008,0.011,12261.0,6098.0,1.0
"theta_z[0, 2]",0.016,0.941,-1.511,1.564,0.008,0.011,13039.0,6432.0,1.0
"theta_z[0, 3]",0.003,0.967,-1.574,1.554,0.009,0.012,11348.0,6085.0,1.0
"theta_z[0, 4]",0.046,0.934,-1.488,1.563,0.008,0.012,13454.0,5832.0,1.0
"theta_z[0, 5]",0.042,0.931,-1.506,1.567,0.008,0.011,12968.0,6149.0,1.0
"theta_z[0, 6]",0.026,0.958,-1.559,1.612,0.008,0.012,13921.0,5776.0,1.0
"theta_z[0, 7]",0.016,0.94,-1.495,1.598,0.008,0.011,12345.0,6083.0,1.0
"theta_z[0, 8]",0.009,0.939,-1.572,1.481,0.008,0.011,12694.0,6180.0,1.0
"theta_z[1, 0]",-0.053,0.946,-1.577,1.518,0.008,0.012,14216.0,6072.0,1.0
"theta_z[1, 1]",-0.067,0.96,-1.649,1.467,0.008,0.013,14332.0,5948.0,1.0
"theta_z[1, 2]",-0.053,0.93,-1.509,1.53,0.008,0.011,13485.0,5454.0,1.0
"theta_z[1, 3]",-0.068,0.93,-1.606,1.442,0.009,0.011,11843.0,5780.0,1.0
"theta_z[1, 4]",0.071,0.953,-1.546,1.591,0.008,0.012,12900.0,5810.0,1.0
"theta_z[1, 5]",0.113,0.932,-1.383,1.647,0.008,0.011,12338.0,5781.0,1.0
"theta_z[1, 6]",0.006,0.968,-1.554,1.581,0.009,0.011,12491.0,5636.0,1.0
"theta_z[1, 7]",0.013,0.925,-1.438,1.632,0.009,0.011,10987.0,6138.0,1.0
"theta_z[1, 8]",0.095,0.942,-1.482,1.603,0.009,0.011,11359.0,6054.0,1.0
tau[0],0.586,0.501,0.0,1.246,0.006,0.004,5960.0,4122.0,1.0
tau[1],0.59,0.513,0.0,1.27,0.006,0.004,5480.0,3787.0,1.0
"sigma[0, 0]",1.897,0.505,1.167,2.672,0.005,0.004,14891.0,5780.0,1.0
"sigma[0, 1]",1.821,0.663,0.837,2.689,0.007,0.006,13960.0,5582.0,1.0
"sigma[0, 2]",1.854,0.587,0.957,2.657,0.006,0.005,13537.0,5133.0,1.0
"sigma[0, 3]",1.867,0.52,1.097,2.629,0.005,0.004,12374.0,6051.0,1.0
"sigma[0, 4]",1.857,0.556,1.045,2.655,0.006,0.005,14088.0,5071.0,1.0
"sigma[0, 5]",1.846,0.596,0.978,2.684,0.006,0.005,12548.0,5771.0,1.0
"sigma[0, 6]",1.873,0.555,1.012,2.638,0.006,0.005,13849.0,4708.0,1.0
"sigma[0, 7]",1.821,0.625,0.936,2.758,0.006,0.005,13490.0,5644.0,1.0
"sigma[0, 8]",1.883,0.532,1.087,2.646,0.005,0.004,13580.0,5864.0,1.0
"sigma[1, 0]",1.893,0.515,1.114,2.642,0.005,0.004,12776.0,5208.0,1.0
"sigma[1, 1]",1.861,0.621,0.946,2.702,0.007,0.005,13053.0,5431.0,1.0
"sigma[1, 2]",1.811,0.629,0.946,2.741,0.007,0.005,13145.0,5971.0,1.0
"sigma[1, 3]",1.823,0.627,0.951,2.74,0.007,0.005,13570.0,5690.0,1.0
"sigma[1, 4]",1.852,0.583,0.985,2.689,0.006,0.005,13402.0,5491.0,1.0
"sigma[1, 5]",1.771,0.783,0.71,2.769,0.009,0.007,12672.0,5271.0,1.0
