,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
trace_prior_[0],0.064,0.987,-1.522,1.707,0.01,0.012,9531.0,5755.0,1.0
trace_prior_[1],0.105,0.886,-1.346,1.563,0.01,0.009,8179.0,6128.0,1.0
trace_prior_[2],-0.125,1.009,-1.699,1.583,0.011,0.012,8404.0,5575.0,1.0
trace_prior_[3],0.072,0.954,-1.466,1.659,0.01,0.01,9585.0,6643.0,1.0
mu[0],3.411,0.29,2.944,3.894,0.003,0.002,9531.0,5755.0,1.0
mu[1],2.805,0.274,2.359,3.257,0.003,0.002,8239.0,6120.0,1.0
sigma[0],1.789,0.203,1.465,2.121,0.002,0.002,9095.0,6086.0,1.0
sigma[1],1.172,0.163,0.903,1.436,0.002,0.001,8883.0,6207.0,1.0
alpha[0],3.69,0.497,2.911,4.455,0.005,0.004,8425.0,5678.0,1.0
alpha[1],5.861,0.949,4.349,7.299,0.01,0.007,9670.0,6505.0,1.0
beta[0],1.092,0.19,0.793,1.366,0.002,0.001,8879.0,6223.0,1.0
beta[1],2.119,0.456,1.387,2.76,0.005,0.004,9290.0,6220.0,1.0
