,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha_z[0],0.133,0.082,0.002,0.267,0.001,0.001,3746.0,3404.0,1.0
alpha_z[1],0.116,0.087,-0.024,0.258,0.001,0.001,4099.0,4441.0,1.0
alpha_z[2],0.077,0.081,-0.058,0.206,0.001,0.001,5367.0,4109.0,1.0
alpha_z[3],0.036,0.079,-0.097,0.162,0.001,0.001,6473.0,5206.0,1.0
alpha_z[4],0.035,0.079,-0.095,0.165,0.001,0.001,6266.0,5017.0,1.0
alpha_z[5],0.072,0.079,-0.058,0.204,0.001,0.001,5672.0,4993.0,1.0
beta_z[0],-0.063,0.1,-0.224,0.1,0.002,0.001,4002.0,5786.0,1.0
beta_z[1],-0.058,0.099,-0.211,0.109,0.002,0.001,3751.0,5660.0,1.0
beta_z[2],-0.028,0.092,-0.181,0.123,0.001,0.001,5626.0,5305.0,1.0
beta_z[3],-0.003,0.092,-0.149,0.157,0.001,0.001,6064.0,5687.0,1.0
beta_z[4],-0.015,0.091,-0.158,0.142,0.001,0.001,6217.0,5136.0,1.0
beta_z[5],-0.036,0.092,-0.193,0.109,0.001,0.001,5608.0,5554.0,1.0
alpha_s,0.853,0.365,0.218,1.467,0.008,0.005,2341.0,1861.0,1.0
beta_s,0.485,0.341,0.0,0.973,0.007,0.005,2355.0,3243.0,1.0
alpha[0],7.931,0.634,6.9,8.868,0.012,0.009,2603.0,4263.0,1.0
alpha[1],7.832,0.689,6.815,8.896,0.012,0.009,3018.0,5215.0,1.0
alpha[2],7.535,0.545,6.679,8.402,0.008,0.006,4108.0,5844.0,1.0
alpha[3],7.248,0.487,6.488,8.068,0.006,0.004,6680.0,6517.0,1.0
alpha[4],7.247,0.48,6.465,8.029,0.006,0.004,5878.0,5691.0,1.0
alpha[5],7.493,0.529,6.686,8.359,0.008,0.006,4069.0,5397.0,1.0
beta[0],0.864,0.053,0.767,0.931,0.001,0.001,2792.0,5253.0,1.0
beta[1],0.867,0.053,0.769,0.935,0.001,0.001,2873.0,4256.0,1.0
beta[2],0.883,0.045,0.806,0.951,0.001,0.0,4293.0,5757.0,1.0
beta[3],0.898,0.043,0.817,0.959,0.001,0.0,6455.0,6356.0,1.0
beta[4],0.891,0.042,0.821,0.961,0.001,0.0,6162.0,5829.0,1.0
beta[5],0.879,0.045,0.798,0.945,0.001,0.001,4130.0,6188.0,1.0
mu[0],9.189,0.569,8.309,10.179,0.007,0.005,7334.0,4975.0,1.0
mu[1],9.047,0.708,7.869,10.154,0.008,0.005,8523.0,5012.0,1.0
mu[2],8.539,0.585,7.628,9.514,0.006,0.004,9444.0,6346.0,1.0
mu[3],8.082,0.566,7.141,8.964,0.006,0.004,9646.0,7212.0,1.0
mu[4],8.139,0.554,7.224,9.024,0.006,0.004,9130.0,6440.0,1.0
mu[5],8.529,0.563,7.654,9.492,0.005,0.004,10412.0,6905.0,1.0
sigma[0],3.266,0.161,3.021,3.531,0.002,0.002,5252.0,5708.0,1.0
sigma[1],3.234,0.186,2.934,3.516,0.002,0.002,6658.0,5483.0,1.0
sigma[2],3.111,0.154,2.865,3.352,0.002,0.001,9383.0,6649.0,1.0
sigma[3],3.002,0.15,2.748,3.232,0.002,0.001,9284.0,6716.0,1.0
sigma[4],3.023,0.147,2.788,3.261,0.002,0.001,9297.0,6285.0,1.0
sigma[5],3.117,0.152,2.874,3.354,0.002,0.001,8730.0,6619.0,1.0
