,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu,8.348,1.31,6.249,10.454,0.016,0.011,7522.0,4709.0,1.0
theta_z[0],0.142,0.907,-1.299,1.694,0.009,0.011,10455.0,5763.0,1.0
theta_z[1],0.171,0.918,-1.275,1.744,0.009,0.011,11509.0,5466.0,1.0
theta_z[2],0.073,0.924,-1.407,1.625,0.009,0.012,11578.0,5659.0,1.0
theta_z[3],-0.015,0.924,-1.502,1.553,0.009,0.013,10976.0,5284.0,1.0
theta_z[4],-0.0,0.928,-1.564,1.497,0.009,0.011,11467.0,5780.0,1.0
theta_z[5],0.067,0.92,-1.368,1.651,0.008,0.012,11856.0,5293.0,1.0
tau,1.326,1.166,0.001,2.821,0.017,0.012,4305.0,3924.0,1.0
sigma[0],2.928,0.574,1.985,3.766,0.006,0.005,10945.0,4865.0,1.0
sigma[1],2.888,0.789,1.695,4.06,0.008,0.007,11408.0,5362.0,1.0
sigma[2],2.879,0.671,1.827,3.887,0.007,0.005,12242.0,5664.0,1.0
sigma[3],2.898,0.659,1.894,3.901,0.007,0.005,11373.0,5314.0,1.0
sigma[4],2.89,0.632,1.895,3.862,0.006,0.005,13242.0,4541.0,1.0
sigma[5],2.897,0.627,1.981,3.919,0.006,0.005,12317.0,5123.0,1.0
theta[0],8.621,1.572,6.094,11.081,0.015,0.011,10690.0,6283.0,1.0
theta[1],8.675,1.627,6.065,11.313,0.016,0.012,10530.0,6197.0,1.0
theta[2],8.494,1.58,5.899,10.996,0.015,0.011,10840.0,7098.0,1.0
theta[3],8.374,1.584,5.603,10.792,0.016,0.011,10483.0,6668.0,1.0
theta[4],8.388,1.611,5.7,10.91,0.016,0.011,10577.0,6816.0,1.0
theta[5],8.507,1.58,5.854,11.01,0.015,0.011,11594.0,7069.0,1.0
alpha[0],9.337,4.756,2.267,16.196,0.051,0.04,8610.0,4792.0,1.0
alpha[1],10.547,6.759,1.658,19.864,0.073,0.059,9133.0,5202.0,1.0
alpha[2],10.033,5.567,2.03,18.037,0.056,0.044,9637.0,5030.0,1.0
alpha[3],9.783,5.307,2.23,17.391,0.057,0.046,8917.0,5052.0,1.0
alpha[4],9.762,5.189,2.028,16.821,0.051,0.042,9798.0,5566.0,1.0
alpha[5],9.715,5.229,2.03,16.943,0.055,0.044,8678.0,4839.0,1.0
beta[0],1.088,0.462,0.392,1.79,0.005,0.004,9577.0,4533.0,1.0
beta[1],1.227,0.691,0.268,2.189,0.007,0.006,10208.0,5540.0,1.0
beta[2],1.172,0.565,0.325,1.992,0.005,0.004,10760.0,5193.0,1.0
beta[3],1.145,0.54,0.358,1.939,0.006,0.005,10102.0,5485.0,1.0
beta[4],1.142,0.521,0.336,1.861,0.005,0.004,11759.0,5158.0,1.0
beta[5],1.134,0.515,0.338,1.869,0.005,0.004,10449.0,5110.0,1.0
