,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,site
lamz,0.785,1.407,-1.473,3.166,0.027,0.019,2714.0,3349.0,1.0,0
lam,1.042,1.511,-1.673,3.174,0.033,0.023,2239.0,2556.0,1.0,0
sigma,1.305,1.016,0.0,2.722,0.019,0.014,2104.0,2073.0,1.0,0
alpha,4.612,1.219,2.626,6.562,0.02,0.014,3648.0,2719.0,1.0,0
mu,7.954,1.045,6.32,9.692,0.011,0.008,8353.0,6041.0,1.0,0
lamz,0.834,1.44,-1.522,3.332,0.029,0.02,2479.0,3031.0,1.0,1
lam,1.167,1.549,-1.445,3.574,0.036,0.026,1887.0,1913.0,1.0,1
sigma,1.288,0.972,0.002,2.694,0.02,0.014,1904.0,1788.0,1.0,1
alpha,5.296,1.081,3.5,6.995,0.018,0.013,3463.0,2888.0,1.0,1
mu,9.687,0.73,8.473,10.868,0.008,0.006,8349.0,5905.0,1.0,1
lamz,0.783,1.488,-1.843,3.136,0.029,0.021,2572.0,2780.0,1.0,2
lam,1.184,1.528,-1.47,3.394,0.033,0.023,2269.0,2581.0,1.0,2
sigma,1.248,0.999,0.0,2.688,0.02,0.014,1741.0,1896.0,1.0,2
alpha,5.45,1.045,3.624,7.007,0.017,0.012,3541.0,3674.0,1.0,2
mu,9.199,0.643,8.18,10.264,0.007,0.005,7960.0,4584.0,1.0,2
lamz,0.854,1.443,-1.641,3.157,0.029,0.021,2402.0,2915.0,1.0,3
lam,1.136,1.543,-1.553,3.38,0.035,0.025,1983.0,2857.0,1.0,3
sigma,1.299,0.979,0.004,2.673,0.019,0.013,2205.0,2260.0,1.0,3
alpha,4.505,1.173,2.69,6.456,0.019,0.014,3613.0,3630.0,1.0,3
mu,9.413,1.133,7.612,11.288,0.013,0.009,7861.0,5775.0,1.0,3
lamz,0.742,1.438,-1.612,3.144,0.029,0.02,2527.0,3227.0,1.0,4
lam,1.173,1.493,-1.535,3.295,0.032,0.023,2161.0,3084.0,1.0,4
sigma,1.252,0.996,0.0,2.647,0.019,0.014,1965.0,1822.0,1.0,4
alpha,5.455,1.088,3.712,7.225,0.018,0.013,3779.0,3422.0,1.0,4
mu,8.4,0.628,7.361,9.387,0.007,0.005,7769.0,5293.0,1.0,4
lamz,0.833,1.418,-1.613,3.033,0.027,0.019,2679.0,3378.0,1.0,5
lam,1.096,1.521,-1.519,3.343,0.033,0.023,2171.0,2687.0,1.0,5
sigma,1.291,1.008,0.0,2.708,0.019,0.014,1978.0,1527.0,1.0,5
alpha,4.954,1.054,3.241,6.625,0.017,0.012,3767.0,3545.0,1.0,5
mu,8.851,0.692,7.73,9.977,0.008,0.006,7775.0,5666.0,1.0,5
lamz,0.749,1.471,-1.588,3.318,0.029,0.021,2624.0,2925.0,1.0,6
lam,1.032,1.519,-1.642,3.217,0.033,0.023,2157.0,3236.0,1.0,6
sigma,1.293,1.058,0.0,2.757,0.024,0.021,2042.0,2633.0,1.0,6
alpha,4.804,1.078,3.054,6.603,0.017,0.012,3777.0,3592.0,1.0,6
mu,7.499,0.665,6.359,8.514,0.008,0.005,7788.0,5436.0,1.0,6
lamz,0.872,1.427,-1.491,3.218,0.028,0.02,2646.0,3151.0,1.0,7
lam,1.123,1.574,-1.605,3.44,0.034,0.024,2229.0,2752.0,1.0,7
sigma,1.339,1.039,0.0,2.787,0.02,0.014,1937.0,1832.0,1.0,7
alpha,3.979,1.075,2.21,5.621,0.017,0.012,4105.0,3653.0,1.0,7
mu,9.874,1.168,7.922,11.68,0.013,0.009,8294.0,5410.0,1.0,7
lamz,0.865,1.442,-1.49,3.304,0.028,0.021,2596.0,2689.0,1.0,8
lam,1.114,1.548,-1.455,3.568,0.033,0.023,2254.0,2286.0,1.0,8
sigma,1.305,1.006,0.0,2.713,0.023,0.018,1709.0,2250.0,1.0,8
alpha,5.337,1.083,3.535,7.036,0.018,0.013,3500.0,3556.0,1.0,8
mu,9.471,0.755,8.165,10.618,0.009,0.006,7631.0,5289.0,1.0,8
lamz,0.907,1.422,-1.232,3.434,0.03,0.021,2198.0,2799.0,1.0,9
lam,1.098,1.579,-1.907,3.156,0.037,0.026,1841.0,2622.0,1.0,9
sigma,1.348,1.011,0.0,2.77,0.019,0.014,2139.0,1917.0,1.0,9
alpha,4.297,1.056,2.54,5.948,0.017,0.012,3996.0,3760.0,1.0,9
mu,10.157,1.043,8.479,11.781,0.011,0.008,8477.0,5772.0,1.0,9
lamz,0.891,1.439,-1.349,3.456,0.032,0.023,2011.0,2695.0,1.0,10
lam,1.104,1.666,-1.837,3.508,0.077,0.054,651.0,184.0,1.01,10
sigma,1.336,1.013,0.0,2.819,0.033,0.025,1253.0,753.0,1.01,10
alpha,4.81,1.118,2.886,6.502,0.025,0.018,2216.0,3374.0,1.0,10
mu,10.245,1.027,8.545,11.876,0.011,0.008,8230.0,5156.0,1.0,10
lamz,0.804,1.445,-1.602,3.25,0.029,0.02,2535.0,3134.0,1.0,11
lam,1.045,1.584,-1.77,3.297,0.034,0.024,2211.0,1960.0,1.0,11
sigma,1.32,1.041,0.0,2.766,0.023,0.018,1942.0,2512.0,1.0,11
alpha,5.192,1.122,3.197,6.87,0.018,0.013,3735.0,3697.0,1.0,11
mu,8.584,0.755,7.39,9.842,0.008,0.006,8345.0,5564.0,1.0,11
