,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
lamz[0],-0.926,1.768,-3.895,1.9,0.019,0.019,9026.0,5444.0,1.0
lamz[1],0.855,1.587,-1.648,3.507,0.018,0.017,7797.0,5443.0,1.0
lamz[2],0.234,1.562,-2.212,2.954,0.019,0.019,7089.0,5345.0,1.0
lamz[3],0.226,1.698,-2.583,2.969,0.017,0.02,9724.0,5568.0,1.0
lamz[4],-0.934,1.578,-3.465,1.672,0.018,0.016,7969.0,5154.0,1.0
lamz[5],-0.313,1.601,-3.004,2.239,0.018,0.019,7759.0,5264.0,1.0
lamz[6],-2.038,1.719,-4.771,0.931,0.022,0.016,6315.0,5673.0,1.0
lamz[7],0.746,1.716,-1.981,3.677,0.019,0.019,8546.0,5682.0,1.0
lamz[8],0.531,1.61,-2.021,3.292,0.017,0.019,8693.0,5320.0,1.0
lamz[9],1.115,1.718,-1.628,3.938,0.019,0.018,8321.0,5281.0,1.0
lamz[10],1.209,1.702,-1.604,3.96,0.018,0.016,8540.0,5767.0,1.0
lamz[11],-0.584,1.661,-3.362,2.066,0.017,0.019,9165.0,5623.0,1.0
lam,2.201,0.03,2.155,2.251,0.001,0.0,3654.0,3302.0,1.0
sigma,0.03,0.019,0.0,0.054,0.0,0.0,2329.0,3126.0,1.0
alpha,8.856,0.901,7.421,10.346,0.009,0.007,9187.0,5818.0,1.0
mu[0],8.764,0.53,7.858,9.566,0.006,0.004,7129.0,6556.0,1.0
mu[1],9.306,0.441,8.619,10.044,0.005,0.004,7595.0,6787.0,1.0
mu[2],9.114,0.384,8.508,9.753,0.004,0.003,10783.0,6865.0,1.0
mu[3],9.124,0.499,8.331,9.956,0.005,0.004,9042.0,5865.0,1.0
mu[4],8.775,0.411,8.079,9.411,0.005,0.003,7271.0,6935.0,1.0
mu[5],8.957,0.406,8.274,9.619,0.004,0.003,10920.0,6643.0,1.0
mu[6],8.461,0.535,7.59,9.279,0.009,0.006,3778.0,5837.0,1.0
mu[7],9.285,0.516,8.498,10.134,0.006,0.004,8327.0,7030.0,1.0
mu[8],9.206,0.432,8.508,9.918,0.005,0.003,8972.0,6040.0,1.0
mu[9],9.404,0.533,8.584,10.268,0.007,0.005,5984.0,6334.0,1.0
mu[10],9.43,0.545,8.624,10.329,0.007,0.005,6522.0,6371.0,1.0
mu[11],8.872,0.44,8.149,9.587,0.005,0.003,8145.0,6007.0,1.0
